pupilid,schoolid,district,bungoma,division,zone,tracking,sbm,girl,agetest,etpteacher,lowstream,stream_meanpercentile,SDstream_std_mark,MEANstream_std_mark,bottomhalf,tophalf,bottomquarter,secondquarter,thirdquarter,topquarter,std_mark,percentile,realpercentile,quantile5p,attrition,w_correct,w_incorrect,w_missing,w_blanks,s_correct,s_incorrect,s_missing,s_blanks,a1_correct,a2_correct,a3_correct,a4_correct,a5_correct,a6_correct,a7_correct,a8_correct,spelling_correct,l_hr,l_min,l_tried,l_errors,l_time,wordscore,sentscore,letterscore,letterscoreraw,spellscore,sentscore24,letterscore24,spellscore24,litscore,additions_score,substractions_score,multiplications_score,mathscoreraw,totalscore,rMEANstream_std_baselinemark,rSDstream_std_baselinemark,rMEANstream_std_total,rSDstream_std_total,rMEANstream_std_math,rSDstream_std_math,rMEANstream_std_lit,rSDstream_std_lit,r2_attrition,r2_age,r2_w_correct,r2_w_incorrect,r2_w_missing,r2_s_correct,r2_s_incorrect,r2_s_missing,r2_a1_correct,r2_a2_correct,r2_a3_correct,r2_a4_correct,r2_a5_correct,r2_a6_correct,r2_a7_correct,r2_a8_correct,r2_spelling_correct,r2_l_hr,r2_l_min,r2_l_tried,r2_l_errors,r2_l_time,r2_wordscore,r2_sentscore,r2_letterscore,r2_letterscoreraw,r2_spellscore,r2_sentscore24,r2_letterscore24,r2_spellscore24,r2_litscore,r2_mathscoreraw,r2_additions_score,r2_substractions_score,r2_multiplications_score,r2_totalscore
4301013,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,7,0,1,25.115055,0.6692453,-0.8192898,1,0,1,0,0,0,-0.88021016,16.025639,17,4,0,6,3,15,,3,6,31,,3,3,1,1,0,0,0,0,1,11,15,46,1,,3,0,45,45,1,0,15.428572,2.4000001,5.2071428,4,4,0,8,13.207143,-0.82794666,0.67719501,-0.32599208,0.71116871,-0.27911815,0.98352343,-0.27970752,0.47403911,0,8,21,3,0,31,4,5,2,1,2,2,0,2,1,0,4,11,26,55,1,,18,27,54,54,4,16.200001,18.514286,9.6000004,15.578571,10,6,4,0,25.578571
4301014,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,10,0,1,25.115055,0.6692453,-0.8192898,1,0,1,0,0,0,-0.83828264,17.307693,18,4,0,13,11,0,,10,5,25,,3,3,2,2,0,0,0,0,1,12,35,32,4,,2,5,28,28,1,3,9.6000004,2.4000001,4.25,5,5,0,10,14.25,-0.82810819,0.67693937,-0.32926017,0.70584065,-0.29218328,0.96945071,-0.27558231,0.48132062,0,9,11,13,0,21,19,0,3,3,2,1,2,2,2,2,1,11,25,48,9,,0,2,39,39,1,1.2,13.371428,2.4000001,4.242857,17,7,6,4,21.242857
4301015,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,11,0,1,25.115055,0.6692453,-0.8192898,1,0,1,0,0,0,-1.0828601,18.589746,19,4,0,7,5,12,,5,3,32,,2,3,1,2,1,0,0,0,2,12,14,36,3,,2,2,33,33,2,1.2,11.314285,4.8000002,4.8285713,3,5,1,9,13.828571,-0.82743979,0.67764461,-0.3279179,0.70813435,-0.28534919,0.97759646,-0.27804264,0.4773697,0,8,15,9,0,24,16,0,3,3,3,3,0,2,2,0,5,11,6,57,2,,6,8,55,55,5,4.8000002,18.857143,12,10.414286,16,8,8,0,26.414286
4301017,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,8,0,1,25.115055,0.6692453,-0.8192898,1,0,1,0,0,0,-0.803343,21.153843,22,5,0,3,11,10,,4,1,35,,3,2,1,0,0,0,0,0,0,12,22,26,2,,0,3,24,24,0,1.8,8.2285719,0,2.507143,4,2,0,6,8.507143,-0.82825786,0.67668396,-0.31337744,0.72142708,-0.26829666,0.98921406,-0.26876119,0.48521829,0,9,24,0,0,38,1,0,3,2,2,2,3,2,0,0,7,11,17,39,1,,24,37,38,38,7,22.200001,13.028571,16.799999,19.007143,14,7,4,3,33.007141
4301018,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,7,0,1,25.115055,0.6692453,-0.8192898,1,0,1,0,0,0,-0.78237921,22.435898,23,5,0,8,4,12,,6,8,26,,3,3,0,0,0,0,0,0,0,12,9,31,5,,4,0,26,26,0,0,8.9142857,0,3.2285714,3,3,0,6,9.2285709,-0.82835388,0.67651212,-0.31509846,0.72127062,-0.26829666,0.98921406,-0.27147958,0.48504332,0,7,13,11,0,16,14,10,3,3,1,2,0,1,1,0,2,11,13,37,3,,2,2,34,34,2,1.2,11.657143,4.8000002,4.9142857,11,5,6,0,15.914286
4301019,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,8,0,1,25.115055,0.6692453,-0.8192898,1,0,1,0,0,0,-0.74743956,23.717953,24,5,0,2,4,18,,3,1,36,,2,0,0,0,0,0,0,0,0,12,2,0,0,,0,2,0,,0,1.2,0,0,0.30000001,2,0,0,2,2.3,-0.82852477,0.67619497,-0.30163676,0.70061797,-0.2525551,0.97593015,-0.26132798,0.4728446,0,12,4,5,15,4,8,28,2,2,0,1,0,2,0,0,0,10,54,0,,,0,0,0,,0,0,0,0,0,7,4,3,0,7
4301021,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,10,0,1,25.115055,0.6692453,-0.8192898,1,0,0,1,0,0,-0.63563269,26.282047,27,6,0,14,10,0,,18,22,0,,3,2,1,0,0,1,0,0,2,12,7,52,1,,4,0,51,51,2,0,17.485714,4.8000002,6.5714283,5,2,0,7,13.571428,-0.82916164,0.67492092,-0.3271133,0.70943975,-0.27344552,0.98737097,-0.28608423,0.45681933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4301022,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,10,0,1,25.115055,0.6692453,-0.8192898,1,0,0,1,0,0,-0.60768098,27.564102,28,6,0,9,7,8,9,10,13,17,,2,3,1,2,0,0,0,0,0,12,31,27,7,,2,0,20,20,0,0,6.8571429,0,2.2142859,3,5,0,8,10.214286,-0.82934213,0.67454052,-0.31757334,0.72023243,-0.27911815,0.98352343,-0.26769903,0.4847098,0,10,11,13,0,20,20,0,3,3,2,3,1,2,0,0,0,11,22,59,3,,0,0,56,56,0,0,19.200001,0,4.8000002,14,7,6,1,18.799999
4301023,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,7,0,1,25.115055,0.6692453,-0.8192898,1,0,0,1,0,0,-0.60069311,28.846157,29,6,0,13,11,0,,6,1,33,,3,3,1,0,2,0,0,0,3,12,5,60,2,,2,5,58,58,3,3,19.885714,7.1999998,8.0214281,4,3,2,9,17.021427,-0.82938856,0.67444164,-0.33885273,0.6856901,-0.28534919,0.97759646,-0.29355079,0.42830133,0,9,24,0,0,35,5,0,3,3,3,2,3,2,0,0,9,11,13,70,47,,24,30,23,23,9,18,7.8857141,21.6,17.871429,16,8,5,3,33.871429
4301024,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,8,0,1,25.115055,0.6692453,-0.8192898,1,0,0,1,0,0,-0.50985003,30.128204,31,7,0,8,16,0,,7,12,21,,1,2,0,0,0,0,0,0,0,11,46,15,3,,0,0,12,12,0,0,4.1142859,0,1.0285715,1,2,0,3,4.0285716,-0.83004111,0.67301404,-0.30435857,0.71064311,-0.2557798,0.98256963,-0.26363716,0.47915626,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4301025,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,9,0,1,25.115055,0.6692453,-0.8192898,1,0,0,1,0,0,-0.45394659,31.410254,32,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.83048755,0.67200482,-0.31216899,0.71393353,-0.26755863,0.97902268,-0.26774323,0.48058185,0,10,12,12,0,13,15,12,3,3,0,0,2,0,0,0,0,11,38,27,9,,0,0,18,18,0,0,6.1714287,0,1.5428572,8,3,3,2,9.5428572
4301027,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,9,0,1,25.115055,0.6692453,-0.8192898,1,0,0,1,0,0,-0.40503111,33.974361,34,7,0,7,4,13,,11,4,25,,1,0,0,0,0,0,0,0,0,11,44,20,10,,3,7,10,10,0,4.1999998,3.4285715,0,2.6571429,1,0,0,1,3.6571429,-0.8309058,0.6710394,-0.30373797,0.70878613,-0.24981131,0.96669972,-0.26931438,0.48534882,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4301029,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,,0,1,25.115055,0.6692453,-0.8192898,1,0,0,1,0,0,-0.34912768,36.53846,37,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.83141577,0.66984177,-0.31216899,0.71393353,-0.26755863,0.97902268,-0.26774323,0.48058185,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4301030,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,8,0,1,25.115055,0.6692453,-0.8192898,1,0,0,1,0,0,-0.32117596,37.820511,38,8,0,7,5,12,,8,7,25,,3,2,0,0,0,0,0,0,4,12,20,26,2,,2,1,24,24,4,0.60000002,8.2285719,9.6000004,5.1071429,3,2,0,5,10.107143,-0.83168364,0.66920495,-0.31729728,0.72039139,-0.2636461,0.98906785,-0.27926344,0.47497728,0,8,20,4,0,14,5,21,1,2,2,2,3,3,0,0,8,11,24,70,1,54,16,9,69,69,8,5.4000001,23.657143,19.200001,16.064285,13,6,4,3,29.064285
4301031,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,7,0,1,25.115055,0.6692453,-0.8192898,1,0,0,1,0,0,-1.2715341,39.102566,40,8,0,11,13,0,,14,10,16,,2,3,0,0,0,0,0,0,0,12,16,0,0,,0,4,0,,0,2.4000001,0,0,0.60000002,2,3,0,5,5.5999999,-0.82738101,0.67687976,-0.30719984,0.71680564,-0.2636461,0.98906785,-0.26226184,0.47572169,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4301032,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,8,0,1,25.115055,0.6692453,-0.8192898,1,0,0,1,0,0,-0.23732084,40.384613,41,9,0,8,16,0,,11,4,25,,0,0,0,0,0,1,1,0,0,11,29,23,8,,0,7,15,15,0,4.1999998,5.1428571,0,2.3357143,1,1,0,2,4.3357143,-0.83253789,0.66714138,-0.30488658,0.71206063,-0.2525551,0.97593015,-0.26813662,0.48496145,0,7,8,16,0,23,17,0,3,3,2,2,0,2,1,0,0,11,29,31,6,,0,6,25,25,0,3.5999999,8.5714283,0,3.0428572,13,7,6,0,16.042858
