earnq1,earnq2,earnq3,earnq4,earnq5,earnq6,earnq7,earnq8,earnq9,earnq10,earnq11,earnq12,earnq13,earnq14,earnq15,earnq16,treatmnt,dsgn_wgt,white,black,hispanic,eng_sec_language,havekids_at_bline,male,educlevel_at_bline,hsgrad_at_bline,ged_at_bline,everwork_at_bline,wrk_lyr_bline,mos_wrk_lyr_bline,earn_lyr_bline,wage_bline,anywlfr_bline,alcohol_bline,arrest_bline,jail_bline,participate,voc_in_jc,work_wk48,pct_wks_wrk,logwage_wk208,wagenotmiss,attrit,nomiss
101.47945,.e,.e,.e,0,0,0,0,0,0,0,114.03275,183.14664,154.97023,318.83075,518.09998,1,9.3076916,1,0,0,0,0,0,10,0,0,1,1,,,,0,1,0,0,0,0,1,48.823204,,0,0,0
172.61539,0,0,0,142.16954,132.435,149.41385,0,0,0,110.95979,0,0,0,0,95.141113,0,19.994539,1,0,0,0,0,0,9,0,0,1,1,1,408,4.25,0,1,0,0,0,0,1,27.884615,1.6486586,1,0,1
27.403847,71.25,71.25,71.145866,211.97217,.e,.e,.e,.e,.e,.e,.e,0,0,0,0,1,9.3076916,0,0,1,0,1,0,12,1,0,0,0,0,0,,1,0,0,0,0,0,0,51.000851,,0,0,0
177.92122,.e,.e,234.91985,181.1077,0,188.65384,245.25,166.60628,0,0,0,0,0,0,0,1,9.3076916,1,0,0,0,0,1,11,0,0,1,1,6.75,6126,5,1,1,1,1,1,1,0,56.172012,,0,0,0
0,0,0,0,362.81909,0,0,0,24.879871,323.43832,323.43832,199.03897,0,0,0,0,1,9.3076916,0,0,0,0,0,1,1,0,1,1,1,2.5,4200,10,0,1,0,0,1,0,0,20.673077,1.9459101,1,0,1
6.5384617,294.61539,355.30768,418.3876,348.55685,388.62692,64.595078,0,22.591812,293.69354,203.32631,0,83.650993,271.86572,271.86572,271.86572,1,9.3076916,0,0,1,0,0,1,9,0,0,1,0,0,0,,0,1,1,,1,1,1,62.01923,1.8484548,1,0,0
,,,,,,,,,,,,,,,,1,9.3076916,1,0,0,0,0,1,9,0,0,1,1,7,11480,6,0,1,1,0,,,,,,,1,0
0,46.153847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.3076916,0,0,1,0,0,0,10,0,0,1,0,0,0,,0,0,1,,1,1,0,1.4423077,,0,0,0
0,0,0,0,0,0,0,0,0,14.809447,285.6351,440.79773,108.48283,0,0,0,1,9.3076916,0,1,0,0,0,1,9,0,0,0,0,0,0,,1,0,0,0,1,1,0,11.057693,2.2137539,1,0,1
,,,,,,,,,,,,,,,,0,12.496587,0,0,0,1,1,1,10,0,0,1,1,1.5,1020,4.25,1,1,1,,,,,,,,1,0
104.92308,149.23077,210,113.07692,0,0,0,0,0,0,0,74.047234,190.28223,190.28223,190.28223,175.64513,0,12.496587,0,1,0,0,0,1,10,0,0,0,0,0,0,,1,0,0,0,0,0,0,42.78846,1.8325815,1,0,1
107.69231,6.0576925,42.403847,0,0,0,0,0,0,0,0,336.91492,618.41724,285.42334,0,122.43929,0,19.994539,0,1,0,0,1,0,11,0,0,1,1,2.25,232.1875,2.1500001,0,0,0,0,0,0,1,23.557692,3.0757749,1,0,1
243.60001,243.60001,232.15384,449.34232,390.13614,547.66968,588.59998,587.7514,588.4978,279.15808,150.31589,0,0,0,0,274.79681,1,9.3076916,0,1,0,0,0,1,11,0,0,1,1,8.75,6558,5,1,1,0,0,1,0,1,65.865387,2.008214,1,0,1
,,,,,,,,,,,,,,,,1,9.3076916,0,1,0,0,0,0,14,1,0,1,1,11.75,13538,5.0999999,0,1,0,0,,,,,,,1,0
265.84616,221.53847,0,48.001152,234.98723,196.2,196.2,195.91714,192.52281,192.52281,192.52281,192.52281,190.28223,190.28223,190.28223,0,0,12.496587,0,1,0,0,0,1,10,0,0,1,1,,,2.7,1,0,0,0,0,0,0,72.115387,1.6094379,1,0,0
0,0,0,26.411539,343.35001,343.35001,266.56787,374.69153,274.15988,173.27054,0,0,0,0,0,0,1,9.3076916,0,1,0,0,0,1,10,0,0,1,1,6.75,9042,4.3499999,1,0,1,,1,1,0,33.173077,,0,0,0
283.5,24.5,38.365383,193.32001,259.28586,138.84923,135.83076,440.81357,433.17633,434.7919,259.16531,0,257.61285,304.45157,304.45157,284.5451,1,9.3076916,1,0,0,0,0,1,12,1,0,1,1,11,11982,6.5,0,0,0,0,0,0,1,71.634613,2.4079456,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.77245,213.44908,0,12.496587,0,1,0,0,1,0,11,0,0,1,1,1,280,2.9166667,1,0,1,,0,0,1,10.576923,1.9329696,1,0,0
.x,.x,.x,.x,532.30566,529.73999,258.07846,36.221539,0,0,0,0,0,0,0,0,1,6.4670324,0,0,1,0,1,1,11,0,0,1,1,4.25,2435.5,3.125,1,1,0,0,1,0,0,.x,2.0149031,1,0,0
180,390,0,0,0,162.99692,423.79199,423.79199,159.94203,0,125.8803,50.352119,0,263.46768,428.13501,428.13501,1,6.4670324,0,1,0,0,0,1,11,0,0,1,1,6,4536,5.25,1,0,0,0,1,0,1,45.192307,2.0149031,1,0,1
278,278,278,277.59369,272.71799,83.913231,0,380.32614,404.29791,404.29791,404.29791,427.99301,437.64911,437.64911,437.64911,437.64911,0,12.496587,0,0,1,1,0,1,10,0,0,1,1,7,6125,6.25,1,1,0,0,0,0,1,88.942307,2.442347,1,0,1
1.5384616,14.769231,0,0,0,105.64616,15.092308,0,0,0,0,0,0,0,0,0,0,19.994539,1,0,0,0,0,0,10,0,0,1,1,1.75,70,,1,1,0,0,0,0,0,8.6538458,,0,0,1
0,0,0,110.76923,45.880615,166.77,225.63,86.780769,0,166.60628,82.370148,68.064217,0,70.258049,87.822563,142.27255,0,12.496587,0,1,0,0,1,0,12,1,0,1,0,0,0,,1,1,1,0,0,0,1,.h,2.0149031,1,0,1
139.8448,.e,189.09244,196.31834,0,0,0,198.61478,629.54962,1194.2732,1816.4484,1205.4816,316.08563,.e,.e,313.9859,1,9.3076916,0,0,0,0,,1,12,0,,1,1,,,8.5714283,0,1,1,1,0,0,1,46.48716,3.871201,1,0,0
,,,,,,,,,,,,,,,,1,9.3076916,0,1,0,0,1,0,13,0,0,0,0,0,0,,1,1,0,0,,,,,,,1,0
124.61539,155.76923,0,0,0,0,0,0,0,0,48.871178,97.742355,0,0,0,0,0,12.496587,0,1,0,0,0,1,9,0,0,0,0,0,0,,1,0,1,,0,0,0,7.2115383,,0,0,0
,,,,,,,,,,,,,,,,0,19.994539,0,1,0,0,0,0,9,0,0,1,1,6,2884,5,,0,0,0,,,,,,,1,0
,,,,,,,,,,,,,,,,0,12.496587,0,0,0,0,0,1,9,0,0,0,0,0,0,,1,1,1,0,,,,,,,1,0
258.58463,305.60001,305.60001,305.15335,299.79361,299.79361,353.16,352.65085,346.54108,346.54108,349.50296,385.04562,380.56445,437.7406,529.22241,449.17581,1,9.3076916,0,1,0,0,1,1,12,1,0,1,1,7.5,3520.5,5.25,0,1,1,0,0,0,1,99.03846,2.3025851,1,0,1
142.5,142.5,142.5,131.53847,0,0,0,237.24126,.e,.e,.e,.e,.e,.e,.e,.e,1,9.3076916,0,1,0,0,1,0,11,0,0,1,1,4.25,4785,4.75,1,0,0,0,1,0,,51.000851,2.0476928,1,0,0
0,0,0,0,84.516922,274.67999,274.67999,274.284,269.53195,124.39936,0,0,0,0,65.86692,71.355835,0,12.496587,0,1,0,0,1,0,11,0,0,1,1,8.75,6215,5.1500001,1,0,0,0,0,0,1,25.961538,.91629076,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,128.07457,25.614914,0,0,0,12.496587,0,1,0,0,0,1,9,0,0,0,0,0,0,,1,0,.98792344,1,0,0,0,5.7692308,1.6094379,1,0,1
0,93.46154,124.61539,0,0,18.110769,235.44,235.10057,231.02737,231.02737,231.02737,231.02737,228.33867,122.95159,0,0,0,19.994539,1,0,0,0,0,0,12,1,0,1,1,6.25,2584,4.25,0,0,1,0,0,0,0,54.326923,,0,0,1
107.69231,175,175,94.230766,0,0,0,0,0,0,0,0,0,0,0,0,1,9.3076916,1,0,0,0,0,0,10,0,0,1,1,7.75,7540,5.25,1,0,0,0,0,0,0,19.711538,2.0794415,1,0,1
.x,.x,.x,.x,247.63971,291.81369,294.29999,293.8757,288.78421,288.78421,288.78421,288.78421,285.42334,285.42334,285.42334,285.42334,0,12.496587,0,1,0,0,0,1,9,0,0,1,0,0,0,,1,0,0,0,0,0,1,.x,2.0149031,1,0,0
226.8,87.230766,0,0,204.29324,204.29324,94.289192,14.772424,207.59143,242.57875,242.57875,242.57875,239.7556,240.63382,251.17253,251.17253,0,12.496587,0,1,0,0,0,1,9,0,0,1,1,1.5,840,2.8,1,1,1,0,0,0,1,74.519234,1.704748,1,0,1
0,73.230766,238,0,92.636581,0,0,0,0,0,207.33226,377.6409,332.9939,332.9939,332.9939,332.9939,1,9.3076916,0,1,0,0,1,1,12,1,0,1,1,,,4.25,1,0,1,1,1,1,1,48.076923,1.9867321,1,0,0
0,0,0,65.42308,0,0,0,0,149.27924,0,28.137949,28.137949,120.60966,257.26157,271.72302,271.72302,1,9.3076916,0,1,0,0,0,0,9,0,0,0,0,0,0,,1,0,0,0,1,1,1,30.76923,1.7833912,1,0,1
57.115383,0,0,0,0,0,105.64616,274.284,24.990942,299.8913,266.57004,213.25604,394.40317,388.17572,388.17572,388.17572,1,9.3076916,0,0,1,0,0,1,12,1,0,1,1,12,12870,5.5,0,1,0,0,1,1,1,49.51923,2.1972246,1,0,1
0,0,0,0,104.13692,195.06807,0,0,195.48471,211.7751,201.5936,191.41211,289.28754,405.87198,254.07068,216.92174,1,9.3076916,0,1,0,0,0,0,11,0,0,1,1,10.75,9288,4.5,1,1,0,0,1,0,1,53.365383,2.0668628,1,0,1
199.5,199.5,168.92308,199.70769,192.65331,210.68861,313.92001,313.46744,308.0365,308.0365,308.0365,308.0365,304.45157,304.45157,288.35074,285.42334,0,19.994539,1,0,0,0,0,0,10,0,0,1,1,7.5,4675,4.75,1,1,0,0,0,0,1,96.634613,2.0149031,1,0,1
,,,,,,,,,,,,,,,,0,12.496587,0,1,0,1,0,1,13,1,0,1,1,12,14040,6,0,1,0,0,,,,,,,1,0
0,0,0,0,0,0,0,0,0,0,0,191.93044,308.2572,284.5451,228.33867,247.36688,1,9.3076916,0,1,0,0,0,1,9,0,0,1,1,2,1360,4.25,,1,1,0,1,1,1,27.884615,1.9095426,1,0,0
0,0,0,0,0,0,0,0,109.96014,173.27054,119.95652,139.12927,160.42386,166.92674,165.66988,177.86641,0,12.496587,0,1,0,0,0,1,9,0,0,1,1,8,2720,4.25,,1,0,0,0,0,0,36.21188,2.0149031,1,0,0
139.58313,.e,.e,201.53691,227.93604,0,602.42444,601.55597,591.13379,591.13379,607.87976,204.81941,87.890175,87.890175,87.890175,87.890175,1,9.3076916,1,0,0,0,0,1,9,0,0,1,1,9,6877,5,1,1,0,0,,0,1,53.47271,2.0068707,1,0,0
,,,,,,,,,,,,,,,,1,9.3076916,1,0,0,0,0,1,9,0,0,1,1,6.75,4150,5,0,1,0,0,,,,,,,1,0
41.53846,198.46153,400,399.41537,392.39999,301.84616,296.18652,465.30319,457.2417,353.20532,308.0365,370.97665,385.3215,385.3215,385.3215,385.3215,0,12.496587,0,0,0,1,0,1,12,1,0,0,0,0,0,,1,1,0,0,0,0,1,91.82692,2.2512918,1,0,1
0,84.615387,0,55.384617,0,0,0,0,10.366613,148.98303,109.8861,0,0,0,0,0,1,9.3076916,0,1,0,0,0,0,8,0,0,0,0,0,0,,1,1,1,0,1,1,0,16.826923,,0,0,1
0,48.46154,329.4375,317.31161,146.47084,287.7966,329.616,254.69228,192.52281,0,0,161.03601,163.08983,174.34023,186.20279,175.75554,0,12.496587,0,1,0,0,0,1,11,0,0,0,0,0,0,,0,0,0,0,0,0,0,43.803745,,0,0,1
,,,,,,,,,,,,,,,,1,9.3076916,1,0,0,0,0,1,10,0,0,1,1,1.5,840,3.3333333,0,1,0,0,,,,,,,1,0
,,,,,,,,,,,,,,,,0,12.496587,1,0,0,0,0,1,11,0,1,1,1,2.75,2801,8,0,1,1,0,,,,,,,1,0
0,238,183.07692,0,0,0,0,18.511808,185.11809,223.91884,156.1212,105.73946,0,0,0,0,1,6.4670324,0,1,0,0,0,0,12,1,0,1,1,8.5,11560,4.25,1,0,0,0,0,0,0,27.403847,1.446919,1,0,1
0,0,0,0,0,317.84399,317.84399,24.449539,291.66318,344.69284,318.17801,0,262.06253,425.85162,425.85162,163.78908,1,9.3076916,0,1,0,0,0,1,8,0,0,0,0,0,0,,1,0,0,0,1,1,0,49.03846,2.0095553,1,0,1
0,66.46154,132.92308,76.92308,0,0,0,0,0,0,157.05418,171.04912,30.869631,360.59946,156.98283,227.24089,1,9.3076916,0,0,1,0,1,1,11,0,1,1,1,4.75,2281,5,0,0,0,0,1,1,0,31.25,1.7917595,1,0,1
0,0,0,0,0,0,0,0,0,163.7505,519.52283,250.04311,.e,.e,.e,.e,1,9.3076916,0,0,0,0,0,0,11,0,0,1,1,12,12000,5,0,1,1,0,1,,,43.878101,,0,0,0
20.923077,54.23077,129.61539,26.029615,70.556541,0,0,172.23935,196.27728,151.05637,288.78421,366.53381,266.76105,217.36084,80.686981,155.88506,0,12.496587,1,0,0,0,0,1,8,0,0,1,1,5.25,2024.75,4.25,0,1,1,,0,0,1,64.903847,2.1972246,1,0,0
0,0,262.15384,299.56152,285.24463,289.77231,353.16,352.65085,346.54108,346.54108,346.54108,346.54108,342.508,109.77821,371.05032,421.72794,1,9.3076916,1,0,0,0,0,1,12,1,0,1,1,4.5,3314,6,0,1,0,0,0,0,1,80.28846,2.74084,1,0,1
261.53845,29.423077,53.942307,120.7702,206.57596,135.83076,196.2,195.91714,29.618895,0,0,0,0,0,0,106.55804,1,9.3076916,0,0,1,0,0,0,12,1,0,0,0,0,0,,1,0,1,0,0,0,1,41.346153,1.6486586,1,0,1
,,,,,,,,,,,,,,,,0,12.496587,1,0,0,0,0,1,11,0,0,1,1,5.25,3024,6,0,0,1,0,,,,,,,1,0
96.92308,210,210,209.69307,206.00999,243.74077,255.06,254.69228,192.52281,42.651207,198.74278,0,100.41047,326.33401,326.33401,326.33401,0,12.496587,0,1,0,0,0,1,10,0,0,1,1,5.25,5235,5,0,1,0,0,0,0,1,77.884613,1.9459101,1,0,1
92.307693,107.69231,0,0,0,0,0,.e,.e,.e,.e,344.52881,304.45157,304.45157,354.21768,342.508,1,9.3076916,1,0,0,0,0,1,8,0,0,1,0,0,0,,1,1,0,0,1,1,1,53.47271,2.1972246,1,0,0
0,48.46154,0,0,141.97658,.e,.e,.e,0,0,0,0,0,0,0,0,1,6.4670324,0,1,0,0,0,0,11,0,0,1,1,3.25,2925,5,,1,0,0,1,1,0,35.855888,,0,0,0
0,0,0,0,0,0,0,67.296738,215.62555,149.27924,80.859581,53.906387,0,0,0,0,0,12.496587,1,0,0,0,0,1,8,0,0,1,1,2.75,1122,4.25,1,1,0,0,0,0,0,13.942307,,0,0,1
0,0,73.846153,0,0,0,0,0,0,0,0,265.68149,40.39838,0,0,122.95159,1,6.4670324,1,0,0,0,1,0,12,1,0,1,1,,,3.7,1,1,0,0,0,0,0,12.5,1.7917595,1,0,0
65.907692,0,0,0,437.526,557.05707,959.41803,701.84924,356.50043,1169.0948,1190.2352,1443.9211,329.33463,856.27002,197.60077,0,1,9.3076916,1,0,0,0,0,1,12,0,1,1,1,12,12598,4.8499999,1,1,0,0,1,1,0,57.692307,3.1135154,1,0,1
0,0,0,0,0,0,0,0,155.49919,217.69887,217.69887,235.15997,342.508,52.693539,0,237.12093,0,19.994539,0,0,1,0,1,0,9,0,0,0,0,0,0,,1,0,0,0,0,0,1,35.096153,2.4849067,1,0,1
,,,,,,,,,,,,,,,,1,9.3076916,0,1,0,0,0,0,8,0,0,0,0,0,0,,0,1,1,0,,,,,,,1,0
0,0,0,0,0,0,0,192.72896,308.0365,308.0365,308.0365,383.21567,385.3215,385.3215,385.3215,481.96936,0,12.496587,0,1,0,0,0,1,12,1,0,1,1,4,1920,8,0,0,0,0,0,0,1,51.923077,2.1972246,1,0,1
70.769234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.3076916,0,1,0,0,0,1,9,0,0,1,1,10,7582,5.75,1,1,0,0,1,1,0,1.9230769,,0,0,1
,,,,,,,,,,,,,,,,0,12.496587,0,1,0,0,0,1,10,0,0,0,0,0,0,,0,1,1,0,,,,,,,1,0
124.61539,0,0,0,60.369232,0,0,0,0,0,0,0,0,0,0,0,0,12.496587,0,1,0,0,1,0,9,0,0,1,1,5.25,3009,4.5,1,0,0,0,0,0,0,7.6923075,,0,0,1
77.596153,17.307692,0,128.82153,232.42154,0,0,0,0,0,0,0,0,0,0,32.93346,1,9.3076916,1,0,0,0,0,0,9,0,0,1,0,0,0,,0,0,0,0,0,0,1,17.307692,2.3025851,1,0,1
507.20764,365.61307,224.01848,223.69107,219.76213,225.23169,290.86649,290.44717,285.41507,285.41507,285.41507,285.15955,282.09338,493.92874,675.50189,675.50189,0,12.496587,0,0,1,0,0,1,9,0,1,1,1,12,3315,4.25,0,0,0,0,0,0,1,100,3.099529,1,0,1
,,,,,,,,,,,,,,,,0,19.994539,0,0,1,1,0,0,12,1,0,0,0,0,0,,0,1,0,0,,,,,,,1,0
299.07693,219.69231,200,92.307693,0,105.64616,274.67999,21.977791,97.964493,0,103.66613,269.29065,278.1048,342.508,342.508,342.508,0,12.496587,1,0,0,0,1,1,10,0,1,1,1,6,5724,4.75,1,1,0,0,0,0,1,62.98077,2.1972246,1,0,1
0,0,0,0,0,0,0,0,0,0,19.992754,0,0,0,0,0,0,12.496587,0,0,1,,0,1,8,0,0,1,1,1,680,4.25,1,0,0,0,0,0,0,.48076922,,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.3076916,1,0,0,0,0,1,9,0,0,1,1,7.5,5092,4.8499999,1,1,.98792344,1,0,0,0,0,,0,0,1
0,0,0,0,0,99.835617,0,0,0,0,0,107.79427,0,0,0,0,0,12.496587,0,1,0,0,1,0,9,0,0,0,0,0,0,,1,0,0,0,0,0,0,6.25,1.6389967,1,0,1
0,0,0,0,0,0,0,202.46045,254.48553,254.13011,254.13011,253.9026,251.17253,251.17253,96.60482,0,1,9.3076916,1,0,0,0,0,0,10,0,0,1,1,12,6345,5.25,0,0,1,0,1,,0,44.71154,,0,0,0
0,0,0,0,76.970772,200.12399,200.12399,199.83548,196.37328,179.19431,179.93478,133.12927,86.651596,304.45157,304.45157,304.45157,1,9.3076916,0,1,0,0,0,1,10,0,0,0,0,0,0,,1,1,0,0,1,1,1,64.903847,2.0794415,1,0,1
,,,,,,,,,,,,,,,,0,19.994539,0,1,0,0,1,0,10,0,0,1,1,1,974.375,4.3499999,1,1,1,0,,,,,,,1,0
.e,.e,.e,.e,0,0,0,0,0,0,0,22.349274,93.055328,33.921467,0,0,1,9.3076916,0,1,0,0,0,0,9,0,0,1,1,2.25,1136.25,5.0500002,1,0,0,0,0,0,0,35.855888,1.8718022,1,0,0
0,0,0,0,0,0,0,0,192.52281,0,63.97681,139.12927,160.42386,166.92674,165.66988,177.86641,0,12.496587,0,0,0,1,0,1,9,0,0,1,1,1.25,850,4.25,1,1,0,0,0,0,0,36.21188,1.8702625,1,0,1
129.23077,0,0,0,180.25592,220.50706,.e,241.06815,236.42505,235.88539,250.34972,283.91055,291.79108,184.42738,316.16122,342.508,1,9.3076916,0,0,0,1,0,1,9,0,0,1,1,12,4905,2.2222223,0,1,1,0,1,1,1,38.789722,2.3025851,1,0,0
,,,,,,,,,,,,,,,,1,9.3076916,0,0,0,1,0,0,12,1,0,1,1,2.25,1800,5,1,1,1,0,,,,,,,1,0
0,64.615387,210,80.769234,0,0,0,0,0,0,78.786263,212.43961,190.28223,122.95159,20.379433,66.233162,1,6.4670324,0,0,1,1,0,1,12,1,0,1,1,4.5,2970,4.75,1,1,.98792344,1,0,0,1,32.692307,6.2146082,1,0,1
0,0,25.846153,335.50891,0,0,453.22198,452.5686,444.72769,444.72769,444.72769,436.3428,428.13501,428.13501,489.61081,528.03314,0,12.496587,0,0,0,1,0,1,11,0,0,0,0,0,0,,1,1,1,1,0,0,1,68.269234,1.9810015,1,0,1
0,0,0,0,81.498459,0,0,0,0,0,0,0,0,0,0,0,1,9.3076916,0,1,0,0,0,1,8,0,0,1,1,1.75,2450,5,1,1,1,1,,,0,1.9230769,1.7917595,1,0,0
0,0,0,0,0,98.099998,318.82501,318.36536,312.84958,312.84958,331.97076,248.82755,266.39511,266.39511,266.39511,266.39511,0,12.496587,0,1,0,0,1,1,11,0,0,1,1,9,11784,7,0,1,1,1,0,0,1,63.46154,1.9459101,1,0,1
114,245.33653,176.42308,125.15337,0,0,0,0,0,0,0,0,0,0,0,23.212362,1,9.3076916,0,1,0,0,0,1,9,0,0,1,1,.75,,4.5,,0,1,1,0,0,1,.h,-3.093024,1,0,0
82.277481,.e,.e,.e,.e,.e,0,116.42644,86.116936,48.130703,48.130703,48.087616,47.570557,32.603874,29.882658,29.882658,1,9.3076916,0,1,0,0,0,0,9,0,0,1,1,7.75,12400,5,0,1,1,0,1,1,1,35.855888,.75141603,1,0,0
,,,,,,,,,,,,,,,,1,9.3076916,0,0,0,0,0,0,8,0,0,1,0,0,0,,1,0,1,,,,,,,,1,0
0,0,0,0,0,226.38461,113.19231,0,0,103.66613,0,0,0,0,0,0,1,6.4670324,0,1,0,0,0,1,8,0,0,0,0,0,0,,1,0,0,0,1,1,0,9.6153851,2.3025851,1,0,1
,,,,,,,,,,,,,,,,1,9.3076916,0,0,0,1,0,1,12,1,0,1,1,9,11720,6.5,0,1,0,0,,,,,,,1,0
0,73.557693,106.25,57.21154,73.348618,0,0,.e,.e,.e,.e,318.60797,0,0,0,210.94492,0,12.496587,1,0,0,0,0,1,8,0,0,1,1,2.25,2160,6,1,1,1,,0,0,1,51.453407,1.9810015,1,0,0
,,,,,,,,,,,,,,,,1,9.3076916,0,1,0,0,0,0,10,0,0,1,0,0,0,,1,0,0,0,,,,,,,1,0
0,40.865383,40.865383,86.153847,0,0,84.516922,95.081535,0,0,53.314011,136.12494,175.53535,175.53535,175.53535,175.53535,1,9.3076916,0,0,1,1,0,0,8,0,0,1,1,2.75,1381.25,4.25,1,0,0,0,0,0,1,46.634617,1.8164521,1,0,1
0,272.49231,295.20001,294.76855,289.59119,318.24243,342.80063,342.30643,336.37585,336.37585,336.37585,251.20181,.e,.e,.e,268.17841,0,19.994539,0,0,1,1,0,0,12,0,1,1,1,6.75,11792,7.2800002,1,0,0,0,0,0,,51.069042,1.8718022,1,0,0
0,0,0,0,0,0,58.105385,107.75443,105.88755,81.451958,0,0,0,0,0,236.05283,0,12.496587,0,0,1,0,1,0,7,0,1,0,0,0,0,,1,1,1,0,0,0,1,25.48077,,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.95159,1,6.4670324,0,0,1,1,1,0,11,0,0,1,0,0,0,,1,0,1,1,1,1,0,5.7692308,1.9459101,1,0,1
15.538462,.e,.e,176.70604,0,0,0,0,65.161568,81.451958,195.48471,245.61276,247.36688,95.141113,0,0,0,12.496587,0,1,0,0,1,0,10,0,0,1,1,1.5,606,5.0500002,1,0,0,0,0,0,0,51.069042,1.8718022,1,0,0
0,184.61539,123.07692,0,0,196.2,255.06,235.44,0,0,0,0,0,0,38.056446,247.10481,1,6.4670324,1,0,0,0,0,0,10,0,1,1,1,10.25,10250,5,0,1,0,0,0,0,1,32.692307,1.8718022,1,0,1
0,0,0,0,83.196342,388.47601,388.47601,387.91592,381.19516,381.19516,234.58165,0,478.9989,566.0896,566.0896,0,1,9.3076916,1,0,0,0,0,1,9,0,0,1,1,1.75,1974,5.25,1,1,1,0,0,0,0,55.28846,2.1400661,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.994539,0,0,1,0,1,0,8,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,0,0,1
,,,,,,,,,,,,,,,,1,9.3076916,1,0,0,0,0,0,8,0,0,0,0,0,0,,1,1,0,0,,,,,,,1,0
46.153847,0,0,0,54.332306,188.26144,304.26093,329.14081,323.43832,323.43832,323.43832,269.29065,266.39511,266.39511,266.39511,266.11288,1,9.3076916,0,0,1,0,0,0,9,0,0,1,1,12,7840,5,1,1,0,0,1,1,1,69.71154,1.9459101,1,0,1
49.03846,166.33076,153.09616,179.80501,118.88966,86.705307,288.414,155.29985,0,0,202.14896,.e,.e,321.61157,314.4964,313.9859,1,9.3076916,0,1,0,0,0,1,10,0,0,1,1,3.5,2232,4.75,1,0,0,0,1,1,1,46.48716,2.4849067,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.496587,0,1,0,0,0,1,9,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,,0,0,1
,,,,,,,,,,,,,,,,0,19.994539,1,0,0,0,0,0,10,0,1,1,0,0,0,,1,1,1,1,,,,,,,1,0
0,0,0,0,0,0,90.553848,52.823078,0,0,0,0,0,0,0,0,0,12.496587,0,1,0,0,0,0,11,0,0,0,0,0,0,,0,0,0,0,0,0,0,5.2884617,,0,0,1
0,24.038462,84.134613,0,0,0,0,0,0,0,264.71887,296.04749,319.67413,319.67413,172.13223,0,0,12.496587,0,1,0,0,0,1,9,0,0,1,1,2.5,900,4.5,1,0,0,0,0,0,0,32.692307,1.9459101,1,0,1
0,0,0,0,12.734135,543.23169,656.53809,655.59155,644.23328,644.23328,536.66028,221.32793,162.6913,1475.6387,1041.6488,459.20416,1,9.3076916,1,0,0,0,0,1,9,0,0,1,1,5.5,1320,,,1,1,0,1,1,1,62.5,3.1354942,1,0,0
.e,224.49269,234.43501,229.70651,297.14069,328.51041,328.51041,328.03677,322.35345,99.185677,446.22717,1051.1702,1034.9451,1034.9451,1034.9451,1033.8485,0,12.496587,1,0,0,0,0,1,10,0,0,1,1,7.25,,5,0,1,0,0,0,0,1,62.640194,2.5610957,1,0,0
13.076923,96.153847,250,19.23077,0,0,27.166153,335.85132,495.28714,390.91287,451.88992,538.5813,532.79022,532.79022,245.90318,0,1,9.3076916,1,0,0,0,0,1,10,0,0,1,1,9.5,2686,4.25,0,1,1,0,1,1,0,55.76923,2.6390574,1,0,1
,,,,,,,,,,,,,,,,0,12.496587,1,0,0,0,0,1,8,0,0,1,1,.5,440,5.5,1,1,0,0,,,,,,,1,0
,,,,,,,,,,,,,,,,0,12.496587,0,1,0,0,1,1,8,0,0,1,1,1.75,1050,7.5,0,1,1,0,,,,,,,1,0
0,0,0,303.26886,373.14221,75.069138,351.92242,544.84558,535.40594,535.40594,535.40594,532.22699,517.56763,517.56763,517.56763,517.01929,1,9.3076916,0,1,0,0,1,1,12,1,0,1,1,7,7700,5.5,0,1,1,0,1,1,1,73.557693,2.6100698,1,0,1
0,0,0,0,0,0,0,0,0,0,0,269.15802,314.72681,314.72681,314.72681,314.39334,0,12.496587,0,0,1,1,1,0,9,0,0,1,1,1.75,280,2.6666667,1,0,0,0,0,0,1,30.288462,2.1126347,1,0,1
298.76923,388.39999,388.39999,387.83234,383.64645,332.03076,0,0,0,0,0,0,0,0,0,0,0,19.994539,0,1,0,0,1,0,11,0,1,1,0,0,0,,1,1,0,0,0,0,0,35.096153,,0,0,1
0,180.92308,103.38461,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.3076916,0,0,0,0,0,0,10,0,0,1,1,2.75,1650,3.3333333,1,1,0,0,1,1,0,5.2884617,.29213643,1,0,1
