earnq1,earnq2,earnq3,earnq4,earnq5,earnq6,earnq7,earnq8,earnq9,earnq10,earnq11,earnq12,earnq13,earnq14,earnq15,earnq16,treatmnt,dsgn_wgt,white,black,hispanic,eng_sec_language,havekids_at_bline,male,educlevel_at_bline,hsgrad_at_bline,ged_at_bline,everwork_at_bline,wrk_lyr_bline,mos_wrk_lyr_bline,earn_lyr_bline,wage_bline,anywlfr_bline,alcohol_bline,arrest_bline,jail_bline,participate,voc_in_jc,work_wk48,pct_wks_wrk,logwage_wk208,wagenotmiss,attrit,nomiss
,,,,,,,,,,,,,,,,0,12.496587,1,0,0,0,0,1,12,1,0,1,1,1.5,872,2.5,1,1,0,0,,,,,,,1,0
0,0,0,0,0,0,0,167.88683,239.70628,237.95819,237.95819,262.36417,275.62964,147.74683,0,0,1,9.3076916,0,1,0,0,0,0,12,1,0,1,0,0,0,,1,0,0,0,1,1,0,38.942307,1.6389967,1,0,1
,,,,,,,,,,,,,,,,1,9.3076916,0,1,0,0,0,1,9,0,0,0,0,0,0,,1,1,0,0,,,,,,,1,0
,,,,,,,,,,,,,,,,1,9.3076916,0,1,0,0,0,1,10,0,0,0,0,0,0,,,1,1,0,,,,,,,1,0
,,,,,,,,,,,,,,,,0,12.496587,1,0,0,0,0,1,10,0,1,1,1,9.25,9620,6.5,1,1,1,1,,,,,,,1,0
0,0,287.61923,260.61539,0,0,0,158.46924,802.76501,1039.6232,276.93668,446.65292,534.34705,579.40936,525.61804,291.24158,0,12.496587,1,0,0,0,0,1,9,0,1,1,1,12,8588,4.25,1,1,0,0,0,0,1,55.76923,2.0794415,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.3076916,0,1,0,0,0,1,10,0,0,0,0,0,0,,1,0,1,1,1,1,0,0,,0,0,1
0,0,0,0,0,0,200.46358,148.84789,497.27005,852.46295,0,0,0,0,90.537079,498.75232,0,12.496587,0,1,0,0,0,1,9,0,0,1,1,,,5.25,0,1,1,1,0,0,1,23.557692,2.0541236,1,0,0
0,0,0,0,0,0,0,0,107.46258,126.34309,126.34309,155.49919,250.87648,271.74728,299.69449,299.69449,1,9.3076916,0,1,0,0,0,0,10,0,0,1,1,12,4896,4,0,1,1,0,1,1,1,49.03846,1.9459101,1,0,1
0,118.52308,128.39999,128.39999,126.8987,133.92914,135.37801,135.37801,133.8166,132.84074,132.84074,46.85339,209.06374,208.12119,208.12119,112.06525,0,12.496587,0,1,0,0,0,1,10,0,0,1,0,0,0,,1,0,0,0,0,0,0,80.28846,1.8325815,1,0,1
54.114433,0,82.5,82.5,125.90677,445.18533,429.47772,218.18681,190.35399,188.96581,188.96581,188.96581,187.61246,92.115662,32.958813,32.958813,0,12.496587,1,0,0,0,0,1,9,0,0,1,1,1,612,4.25,,1,0,0,0,0,1,89.903847,1.9459101,1,0,0
52.441116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.3076916,0,0,0,0,0,0,12,1,0,1,1,7,3516,1.7,0,1,0,0,1,1,0,1.4423077,,0,0,1
44.23077,115,118.46154,165.44168,121.64115,28.675385,0,0,0,0,0,61.014923,76.268654,0,0,0,1,9.3076916,1,0,0,0,0,0,9,0,0,1,1,2.75,2046,4.6500001,1,1,1,0,1,1,0,33.653847,,0,0,1
17.21287,0,0,0,0,0,377.30768,490.5,484.8428,481.30704,111.07085,62.19968,316.08563,321.61157,314.4964,313.9859,1,9.3076916,0,0,0,1,1,1,10,0,0,1,1,11.5,14446,1.6222222,1,1,1,,1,1,1,51.923077,2.3978953,1,0,0
,,,,,,,,,,,,,,,,0,12.496587,1,0,0,0,0,1,10,0,0,1,1,5,8035,4.75,0,1,1,0,,,,,,,1,0
,,,,,,,,,,,,,,,,1,6.4670324,0,1,0,0,1,0,12,1,0,1,0,0,0,,,0,0,0,,,,,,,1,0
0,0,0,0,0,0,0,0,34.209824,148.24257,57.016373,126.62077,113.0078,65.86692,95.141113,51.229828,1,9.3076916,0,1,0,0,0,1,10,0,0,1,1,2.25,956.25,4.25,1,1,0,0,1,1,0,30.288462,1.8325815,1,0,1
0,0,0,102,100.65831,108.90987,116.49375,116.49375,44.80529,0,159.94203,0,58.548378,190.28223,185.8911,171.254,0,12.496587,1,0,0,0,1,0,10,0,0,1,1,9,4547,4.25,1,1,0,0,0,0,1,54.807693,1.7917595,1,0,1
.e,147.69231,240,240,319.05133,235.44,90.553848,0,0,142.61497,205.9994,157.57253,0,135.24675,251.17253,77.283859,0,12.496587,0,1,0,0,0,1,9,0,0,1,1,3.75,2506,5.25,1,0,0,0,0,0,0,40.383442,,0,0,0
,,,,,,,,,,,,,,,,1,9.3076916,1,0,0,0,0,0,8,0,0,1,1,2,1440,4.5,,1,0,0,,,,,,,1,0
111.37206,120,120,120,118.42154,134.32153,294.29999,294.29999,290.90567,288.78421,435.76797,414.66452,321.12189,319.67413,319.67413,319.67413,1,9.3076916,0,1,0,0,0,1,9,0,0,1,1,12,4160,5,0,0,0,0,1,0,1,.h,1.7917595,1,0,1
317.41034,342,342,342,337.50137,335.50201,335.50201,392.58112,389.03784,386.20078,386.20078,386.20078,383.43484,405.06696,425.09048,425.09048,1,9.3076916,0,1,0,0,0,1,11,0,1,1,1,5.25,5235,4.625,0,0,1,,0,0,1,99.519234,2.4132316,1,0,0
10.940784,0,0,0,0,0,15.092308,196.2,75.46154,142.91116,564.09186,597.46246,593.18353,619.36865,413.86383,87.822563,0,12.496587,1,0,0,0,0,1,9,0,0,1,1,5,2766.5,4.3499999,1,1,1,0,0,0,0,45.673077,2.0689702,1,0,1
128.6817,437.5,437.5,437.5,431.74518,282.49939,283.78375,289.78671,276.1051,272.20895,285.74634,318.60797,194.96687,194.08786,194.08786,529.86279,0,12.496587,1,0,0,0,0,1,9,0,0,1,1,4,1660.75,4.25,,1,1,0,0,0,1,94.230766,2.0794415,1,0,0
137.27966,161.60001,149.16924,42.056778,269.77319,310.20264,317.84399,317.84399,314.17813,311.88696,311.88696,325.16827,331.08081,329.58813,332.56964,342.508,1,9.3076916,1,0,0,0,0,1,9,0,0,1,1,1,2080,6.5,0,1,1,1,0,0,1,93.269234,2.1972246,1,0,1
69.937141,80.831406,55.960205,0,0,0,0,44.824154,63.999249,63.532528,63.532528,192.37473,146.34924,128.44051,128.44051,0,0,12.496587,1,0,0,0,0,1,8,0,0,1,1,2.5,323.3125,4.6189375,0,1,1,0,0,0,0,64.903847,2.3025851,1,0,1
,,,,,,,,,,,,,,,,1,9.3076916,0,0,0,1,0,1,9,0,0,0,0,0,0,,0,0,0,0,,,,,,,1,0
0,0,0,0,0,.e,.e,.e,.e,.e,.e,139.12927,160.42386,166.92674,165.66988,177.86641,0,19.994539,1,0,0,0,0,0,8,0,0,1,0,0,0,,1,0,0,0,0,0,0,36.21188,2.5257287,1,0,0
274.71774,296,296,296,292.10648,386.66492,404.172,404.172,398.92776,396.59698,396.59698,280.19473,0,219.55641,570.84668,570.84668,1,9.3076916,0,0,1,1,1,1,12,1,0,1,1,10.25,20500,9.7222223,0,0,0,0,0,0,1,85.096153,2.501436,1,0,1
0,0,0,0,0,0,121.49308,225.63,222.70239,221.40123,221.40123,189.19069,150.52589,149.84724,149.84724,149.84724,1,9.3076916,0,0,0,1,1,0,11,0,0,0,0,0,0,,0,0,0,0,0,0,1,59.615383,1.1474025,1,0,1
,,,,,,,,,,,,,,,,1,6.4670324,0,0,0,0,0,0,12,1,0,1,1,9,3984.5,,,1,0,0,,,,,,,1,0
18.86342,0,0,0,0,0,0,62.180309,120.8354,167.7355,136.08031,76.268654,93.302696,303.23376,303.23376,303.23376,1,9.3076916,0,1,0,0,0,0,11,0,0,1,1,4.5,1029.5,2.8599999,0,0,0,0,1,1,1,.h,1.8931119,1,0,1
76.730766,102.30769,169.23077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.496587,0,1,0,0,0,0,10,0,0,1,0,0,0,,,0,0,0,0,0,0,12.019231,,0,0,0
0,40,0,0,0,110.92846,180.25874,180.25874,41.598171,0,0,0,0,0,0,0,1,9.3076916,0,1,0,0,0,1,10,0,0,0,0,0,0,,1,0,0,0,1,1,0,19.711538,,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,78.601196,0,0,1,9.3076916,0,1,0,0,0,0,10,0,0,0,0,0,0,,1,0,0,0,1,1,0,2.8846154,1.7861885,1,0,1
128.9304,270,346.15384,207.69231,138.15846,252.64523,287.23679,243.04652,0,0,0,131.50789,282.8931,281.61768,281.61768,281.61768,0,12.496587,0,1,0,0,0,0,11,0,0,1,1,9.5,6204,4.8000002,1,0,0,0,0,0,1,73.07692,,0,0,1
194.90109,210,210,210,207.23769,138.09462,255.06,215.82001,245.62875,288.78421,288.78421,388.74799,458.74557,456.67734,456.67734,456.67734,1,9.3076916,0,1,0,0,0,1,9,0,0,1,1,4.5,2342.5,4.75,,0,0,0,1,1,1,83.653847,2.3025851,1,0,0
0,0,0,0,0,0,0,0,0,0,311.88696,373.19806,0,0,0,0,1,9.3076916,0,1,0,0,0,1,8,0,0,0,0,0,0,,1,1,0,0,1,1,0,9.1346149,,0,0,1
0,0,0,0,0,0,0,0,0,0,0,148.09447,161.8698,0,0,0,1,9.3076916,0,1,0,0,0,0,12,1,0,1,1,1.75,1267,7.2399998,1,1,0,0,1,1,0,10.096154,,0,0,1
300.70453,324,324,224.30769,226.97461,142.62231,0,0,0,0,62.19968,311.88696,242.75287,241.65842,241.65842,66.013298,0,12.496587,0,1,0,0,0,1,10,0,0,1,1,4.5,2112.5,4.75,0,1,0,0,0,0,1,66.346153,2.0794415,1,0,1
0,0,93.46154,243,239.80362,290.67786,300.186,300.186,296.72379,294.55991,294.55991,297.89203,301.05179,299.69449,299.69449,299.69449,1,9.3076916,1,0,0,0,0,0,12,0,0,1,1,6.25,8928,4.75,1,1,0,0,1,1,1,81.730766,2.1690538,1,0,1
0,0,49.846153,49.846153,0,0,0,0,85.524559,44.2062,138.61642,201.92682,301.05179,299.69449,299.69449,299.69449,1,9.3076916,1,0,0,0,0,1,8,0,0,1,1,2,1560,4,1,1,1,1,1,1,1,41.346153,1.9459101,1,0,1
0,0,0,0,0,0,0,0,0,108.24974,144.33299,0,0,0,0,0,0,12.496587,1,0,0,0,0,1,9,0,0,0,0,0,0,,1,1,0,0,0,0,0,6.7307692,,0,0,1
242.65802,250.1187,250.1187,211.63889,0,.e,.e,.e,.e,.e,.e,.e,0,0,0,0,1,9.3076916,1,0,0,0,0,0,11,0,0,1,1,2.25,1728,6,1,0,0,0,1,1,0,48.823204,,0,0,0
132.25432,142.5,142.5,142.5,65.352692,0,0,95.081535,146.61353,211.7751,211.7751,285.63721,293.38901,211.32304,392.45709,241.51205,0,12.496587,1,0,0,0,0,1,12,1,0,1,0,0,0,,0,0,0,0,0,0,0,70.192307,2.0149031,1,0,1
200.02176,204,191.39999,126.42,124.75709,146.26711,187.14462,347.65884,155.49948,0,130.32314,91.226196,380.8826,299.91406,57.084667,169.93666,1,6.4670324,1,0,0,0,1,1,12,0,1,1,1,11.25,8139,4.25,0,1,1,0,1,1,0,73.557693,2.0794415,1,0,1
0,0,55.73077,185.76923,0,0,0,113.19231,157.62065,133.28502,346.54108,433.17633,278.35593,282.73718,294.80652,293.3114,0,12.496587,0,0,1,0,0,1,8,0,0,1,1,1.25,400,4,1,1,0,0,0,0,1,40.383442,2.3025851,1,0,1
0,0,0,0,0,0,0,0,0,0,0,75.350464,0,0,0,0,0,19.994539,1,0,0,0,0,0,11,0,0,1,1,8.25,4533,4.4499998,0,1,1,1,0,0,0,1.9230769,,0,0,1
,,,,,,,,,,,,,,,,0,12.496587,0,1,0,0,0,1,10,0,0,1,1,,,,,1,0,0,,,,,,,1,0
0,0,0,50.48077,129.52356,113.13571,111.834,111.834,61.067467,115.51369,71.08535,0,20.491932,266.39511,266.39511,266.39511,0,12.496587,0,1,0,0,0,1,10,0,0,0,0,0,0,,0,1,0,0,0,0,1,60.096153,1.9459101,1,0,1
,,,,,,,,,,,,,,,,1,9.3076916,1,0,0,0,0,1,10,0,0,1,0,0,0,,0,1,0,0,,,,,,,1,0
126.00006,.e,.e,.e,183.64854,364.62088,377.30768,377.30768,372.41202,227.83765,398.00391,148.09447,552.26843,596.53479,596.53479,596.53479,1,9.3076916,0,1,0,0,0,0,10,0,0,1,1,1.5,2160,5,0,0,0,0,0,0,1,43.878101,2.3978953,1,0,0
.e,.e,.e,.e,.e,.e,.e,.e,.e,.e,.e,.e,.e,.e,.e,.e,0,19.994539,0,1,0,0,0,0,9,0,0,1,1,4.25,1920,6,1,1,0,0,0,0,,.e,,0,0,0
,,,,,,,,,,,,,,,,0,12.496587,0,1,0,1,0,1,12,1,0,0,0,0,0,,0,0,0,0,,,,,,,1,0
44.014645,0,0,186.15384,217.10616,315.42923,431.64001,332.03076,0,277.23285,300.3356,300.77988,300.09607,248.8306,247.36688,38.056446,1,9.3076916,0,1,0,0,0,1,11,0,0,1,1,.25,120,10,0,0,0,0,0,0,0,65.865387,2.0605135,1,0,1
,,,,,,,,,,,,,,,,1,9.3076916,0,1,0,1,0,1,11,0,0,1,0,0,0,,0,0,0,0,,,,,,,1,0
233.6879,153.84616,0,0,0,0,0,86.026154,134.74805,212.8858,134.61787,244.2751,335.4577,353.03268,184.42738,274.44553,0,12.496587,0,1,0,0,0,0,11,0,0,1,1,11.5,9070,5.25,1,0,0,0,0,0,1,62.5,2.3025851,1,0,1
