gender,educ,age,caruse,fast,unsafe,limit,offense,policy,contrib,limwar,accept,sig
1,3,50,8,5,13,NA,16,22,19,10,32,4.653245926
0,4,38,16,5,13,22,16,27,22,12,26,4.653245926
0,4,40,18,4,12,16,18,15,15,7,19,4.653245926
0,5,54,20,4,11,15,23,12,20,7,24,4.653245926
1,5,47,16,5,20,18,9,30,23,12,30,4.653245926
0,1,68,11,4,16,19,9,24,10,8,16,4.653245926
0,6,41,19,3,17,18,18,16,19,10,26,4.653245926
0,5,45,17,5,16,20,14,22,18,10,34,4.653245926
1,6,33,20,4,9,13,20,16,20,7,8,4.653245926
1,3,56,10,5,16,18,7,25,10,10,23,4.653245926
0,2,46,17,4,14,18,17,24,20,10,30,4.653245926
1,2,49,10,5,12,23,19,22,14,10,27,4.653245926
0,3,67,10,5,16,18,8,24,22,12,36,4.653245926
1,6,37,15,5,13,19,11,26,20,14,32,4.653245926
1,2,61,11,4,15,21,13,18,19,8,28,4.653245926
0,3,62,12,4,15,20,11,27,24,13,25,4.653245926
0,6,34,8,4,19,16,15,25,19,10,27,4.653245926
0,4,47,18,3,4,13,29,6,21,10,22,4.653245926
1,3,41,13,4,14,20,11,23,15,7,24,4.653245926
0,4,46,5,5,13,23,14,30,18,11,24,4.653245926
0,4,34,5,4,14,18,19,21,13,12,28,4.653245926
0,4,40,20,1,7,15,25,14,13,10,20,4.653245926
0,3,32,17,4,14,17,NA,20,16,11,29,4.653245926
0,4,47,18,3,10,15,22,19,5,NA,8,4.653245926
0,NA,79,14,5,12,18,6,NA,5,8,11,4.653245926
0,5,NA,17,3,13,18,17,24,23,9,34,4.653245926
0,6,31,20,3,8,12,23,15,16,7,16,4.653245926
1,3,59,12,4,16,25,24,25,17,8,24,4.653245926
1,2,40,NA,2,10,17,19,9,15,9,18,4.653245926
1,5,62,10,4,16,19,11,NA,NA,11,27,4.653245926
1,5,41,15,4,14,21,13,22,10,10,30,4.653245926
0,5,24,10,3,11,13,23,14,19,10,29,4.653245926
0,5,33,15,4,11,17,17,20,9,10,18,4.653245926
0,3,50,13,2,9,15,22,8,13,7,16,4.653245926
1,5,44,16,5,19,21,13,22,20,10,25,4.653245926
1,4,49,15,3,14,17,10,25,15,12,26,4.653245926
0,2,73,10,5,NA,23,11,26,25,14,40,4.653245926
1,5,42,16,4,16,18,16,30,15,10,29,4.653245926
0,5,64,8,5,18,18,12,23,21,9,27,4.653245926
0,5,55,14,4,13,17,15,18,10,9,12,4.653245926
0,3,43,14,5,16,20,17,23,22,9,33,4.653245926
0,5,53,18,3,13,20,26,19,16,7,17,4.653245926
1,3,29,NA,5,10,18,16,20,18,9,25,4.653245926
0,4,47,14,3,14,15,20,18,18,10,27,4.653245926
0,4,65,13,3,10,15,23,15,18,10,27,4.653245926
0,4,63,10,4,17,18,17,22,22,12,32,4.653245926
0,3,70,10,4,18,22,15,22,11,9,30,4.653245926
0,5,64,12,5,15,18,20,24,13,7,27,4.653245926
0,3,39,10,4,16,20,18,30,10,9,26,4.653245926
0,2,60,14,1,14,21,7,30,19,12,31,4.653245926
0,3,55,13,3,14,15,20,13,14,8,24,4.653245926
0,5,42,13,5,17,19,8,18,21,10,31,4.653245926
1,3,42,8,4,18,20,11,27,18,11,25,4.653245926
0,3,69,9,4,16,19,17,26,20,9,25,4.653245926
0,6,62,10,3,11,18,15,23,25,11,35,4.653245926
0,4,48,19,3,12,14,21,22,14,11,20,4.653245926
0,5,66,17,3,14,17,19,21,17,10,30,4.653245926
1,2,67,9,4,16,20,17,30,25,12,29,4.653245926
0,5,62,13,4,11,18,14,29,14,7,24,4.653245926
